               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044267,            0.064773,            0.018033,             0.70704,             0.55338,             0.61301,             0.38618,            0.043175,             0.04505,            0.012657,            0.070048,            0.003328,            0.003328
                   1,            0.046014,            0.065585,            0.019779,             0.64604,             0.51291,             0.56067,             0.34588,            0.045092,            0.046881,            0.015379,            0.038949,           0.0055622,           0.0055622
                   2,            0.047794,            0.067688,            0.022351,             0.57757,              0.4274,             0.45791,             0.26537,            0.048814,             0.05047,            0.021934,           0.0067498,           0.0066964,           0.0066964
                   3,            0.049029,            0.069478,            0.024622,             0.60543,             0.42989,             0.47432,             0.28149,            0.048249,            0.050073,            0.020313,             0.00505,             0.00505,             0.00505
